위도,경도,num_of_company(near 3km),num_of_large(near 1km),num_of_bus_stop(near 500m),num_of_hospital(near 1km),num_of_theather(near 1km),num_of_camp(near 3km),num_of_school(near 500m),nearest_subway_name,nearest_subway_distance,num_of_subway(near 500m),num_of_gvn_office(near 500m),parks_within_500m,parking_lots_within_500m,university_within_0m_500m,university_within_500m_1000m,university_within_1000m_1500m,university_within_1500m_2000m
35.803666,128.738223,119,0,20,1,0,1,2,임당,3373.942562215062,0,0,1,0,0,1,0,0
35.804121,128.737972,141,0,23,1,0,1,2,임당,3325.2988546158804,0,0,1,0,0,1,0,0
35.804184,128.738404,140,0,23,1,0,1,2,임당,3315.473978704036,0,0,1,0,0,1,0,0
35.805725,128.742053,130,0,18,1,0,1,2,임당,3138.7818848902184,0,0,1,0,1,0,0,0
35.80213,128.737627,122,0,18,1,0,1,2,임당,3548.0081550118616,0,0,1,0,0,1,0,1
35.802308,128.735674,124,0,15,1,0,1,2,임당,3547.3651573180705,0,0,0,0,0,1,0,1
35.809716,128.740263,154,0,13,1,0,1,2,임당,2694.7136533678795,0,2,0,0,0,1,0,0
35.805131,128.733789,121,0,8,1,0,1,0,정평,3244.8053597179987,0,0,0,0,0,1,0,0
35.804121,128.737972,141,0,23,1,0,1,2,임당,3325.2988546158804,0,0,1,0,0,1,0,0
35.805131,128.733789,121,0,8,1,0,1,0,정평,3244.8053597179987,0,0,0,0,0,1,0,0
35.804084,128.737075,122,0,22,1,0,1,1,임당,3336.7542993774696,0,0,1,0,0,1,0,0
35.807269,128.738622,141,0,20,1,0,1,0,임당,2972.6284826217066,0,0,1,0,0,1,0,0
35.804688,128.741467,130,0,17,1,0,1,3,임당,3252.474684815659,0,0,1,0,1,0,0,0
35.802487,128.744004,124,0,7,1,0,1,4,임당,3507.67171702787,0,0,1,0,1,0,0,0
35.804695,128.742395,129,0,15,1,0,1,3,임당,3254.161590024583,0,0,1,0,1,0,0,0
35.802487,128.744004,124,0,7,1,0,1,4,임당,3507.67171702787,0,0,1,0,1,0,0,0
35.81132,128.761555,120,0,12,2,0,1,2,영남대,2879.0653261624325,0,0,2,0,0,0,0,1
35.808026,128.761631,104,0,11,3,0,1,1,영남대,3233.024064683349,0,0,1,0,0,0,0,2
35.811434,128.75479,113,0,16,0,0,1,3,영남대,2756.3377280648806,0,1,2,0,0,0,1,0
35.80345,128.764021,89,0,2,1,0,1,0,영남대,3779.815895730111,0,0,0,0,0,0,1,1
35.810728,128.75653,106,0,18,2,0,1,2,영남대,2850.045704777581,0,1,3,0,0,0,1,0
35.809981,128.758223,107,0,18,2,0,1,3,영남대,2954.9824721540526,0,1,2,0,0,0,1,0
35.811905,128.758356,121,0,21,2,0,1,2,영남대,2747.270533351574,0,2,4,0,0,0,0,1
35.81197,128.758225,121,0,21,2,0,1,2,영남대,2737.9473211904387,0,2,4,0,0,0,0,1
35.811084,128.754442,113,0,16,0,0,1,2,영남대,2792.960129960579,0,1,2,0,0,0,1,0
