매출등급,대분류업종,대분류업종코드,도로명주소,위도,경도,num_of_company(near 3km),num_of_large(near 1km),num_of_bus_stop(near 500m),num_of_hospital(near 1km),num_of_theather(near 1km),num_of_camp(near 3km),num_of_school(near 500m),nearest_subway_name,nearest_subway_distance,num_of_subway(near 500m),num_of_gvn_office(near 500m),parks_within_500m,parking_lots_within_500m,university_within_0m_500m,university_within_500m_1000m,university_within_1000m_1500m,university_within_1500m_2000m
4,기타,0,경산시 압독2로 26-1,35.8411947,128.76547,349,0,15,0,0,1,2,영남대,1251.4908354626132,0,3,0,0,0,0,0,0
4,기타,0,경산시 강변동로 362,35.8410505,128.7286143,109,1,8,3,0,0,0,임당,1371.237296911265,0,0,0,1,0,0,0,0
6,제조업,5,경산시 대구대로 579-4,35.8752563,128.8524219,532,0,8,0,0,0,1,영남대,9967.4076925528,0,0,0,0,0,0,0,0
6,소매업,6,경산시 경안로50길 17,35.8295902,128.7377719,134,1,7,5,6,1,0,임당,580.0947239930564,0,2,2,3,0,0,0,0
4,기타,0,경산시 중방로 24,35.8298604,128.7367016,130,1,8,5,6,1,0,임당,612.8882857051885,0,2,2,4,0,0,0,0
4,제조업,5,경산시 강변서로51길 15-1,35.8299003,128.730095,124,2,10,8,6,1,2,정평,916.0329678814504,0,3,5,5,0,0,0,0
5,소매업,6,경산시 경안로67길 14,35.8362612,128.7319958,118,2,13,3,6,1,1,임당,860.2728900215673,0,1,1,1,0,0,0,0
4,기타,0,경산시 원효로 202,35.8185771,128.7582101,186,0,17,2,0,1,0,정평,1988.616108926612,0,2,0,0,0,0,0,0
5,음식점,1,경산시 조산로 17,35.844836,128.7614648,330,0,10,0,0,0,1,영남대,1215.353407412558,0,2,0,0,0,0,0,0
7,기타,0,경산시 화랑로 119,35.8254274,128.7655875,365,0,5,1,0,1,0,영남대,1664.2185442971377,0,0,0,0,0,0,0,0
7,도매업,7,경산시 둥지로 73,35.8425584,128.749807,260,0,8,0,0,1,0,영남대,745.7090157542377,0,0,1,0,0,0,0,0
4,제조업,5,경산시 평산길 33,35.8049824,128.7671958,98,0,5,1,0,1,0,정평,3435.1297125072538,0,0,0,0,0,0,1,0
6,기타,0,경산시 성암로3길 3,35.8223038,128.7188918,86,0,19,2,0,0,2,정평,1671.079973096838,0,1,0,1,0,0,0,0
4,기타,0,경산시 장산로 132,35.8183151,128.7393893,141,1,9,8,0,1,1,정평,665.7289436287257,0,3,0,2,0,0,0,1
