건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,총점
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,23
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,77
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,7,,126.9007767,37.45189359,96
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,23
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,98
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,,,126.9007767,37.45189359,94
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,,,126.9007767,37.45189359,85
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,52
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,44
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,80
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,89
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,4
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,22
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,34
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,38
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,32
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,3,,126.9007767,37.45189359,89
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,,,126.9007767,37.45189359,93
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,2,,126.9007767,37.45189359,27
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,2,,126.9007767,37.45189359,30
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,88
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,78
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,2,,126.9007767,37.45189359,46
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,44
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,54
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,12
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,40
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,2,,126.9007767,37.45189359,66
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,62
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,,,126.9007767,37.45189359,15
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,92
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,93
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,7
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,,,126.9007767,37.45189359,13
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,49
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,,,126.9007767,37.45189359,91
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,3,,126.9007767,37.45189359,39
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,98
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,38
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,74
