id,group_id,latitude,longitude,num_of_company,num_of_large,num_of_bus_stop,num_of_hospital,num_of_theather,num_of_camp,num_of_school,nearest_subway_name,nearest_subway_distance,num_of_subway,num_of_gvn_office,parks_within_500m,parking_lots_within_500m,industry_category,avg_sales_level
1789,4466,35.833828,128.724146,115,1,17,2,0,0,0,정평,407.9438367377239,1,2,2,4,유흥주점,6.0
1039,4466,35.835335,128.72402,92,1,20,3,0,0,0,정평,441.1755754101614,1,1,2,4,유흥주점,6.0
1277,4466,35.833582,128.721474,85,1,18,2,0,0,0,사월,649.1032522775434,0,2,1,6,유흥주점,4.0
1789,4467,35.833828,128.724146,115,1,17,2,0,0,0,정평,407.9438367377239,1,2,2,4,의료,4.79
1039,4467,35.835335,128.72402,92,1,20,3,0,0,0,정평,441.1755754101614,1,1,2,4,의료,4.6
1277,4467,35.833582,128.721474,85,1,18,2,0,0,0,사월,649.1032522775434,0,2,1,6,의료,3.5
1169,4468,35.820809,128.717544,83,0,13,2,0,0,0,정평,1781.457440054829,0,1,0,1,음식점,1.57
653,4468,35.820935,128.717142,83,0,12,2,0,0,0,사월,1785.141420705633,0,1,0,1,음식점,1.6
668,4468,35.820995,128.719057,87,0,16,2,0,0,1,정평,1690.4250743690038,0,1,0,1,음식점,1.88
1169,4469,35.820809,128.717544,83,0,13,2,0,0,0,정평,1781.457440054829,0,1,0,1,미용,1.0
653,4469,35.820935,128.717142,83,0,12,2,0,0,0,사월,1785.141420705633,0,1,0,1,미용,1.0
668,4469,35.820995,128.719057,87,0,16,2,0,0,1,정평,1690.4250743690038,0,1,0,1,미용,1.08
1169,4470,35.820809,128.717544,83,0,13,2,0,0,0,정평,1781.457440054829,0,1,0,1,서비스,2.0
653,4470,35.820935,128.717142,83,0,12,2,0,0,0,사월,1785.141420705633,0,1,0,1,서비스,2.0
668,4470,35.820995,128.719057,87,0,16,2,0,0,1,정평,1690.4250743690038,0,1,0,1,서비스,1.5
1169,4471,35.820809,128.717544,83,0,13,2,0,0,0,정평,1781.457440054829,0,1,0,1,소매업,4.95
653,4471,35.820935,128.717142,83,0,12,2,0,0,0,사월,1785.141420705633,0,1,0,1,소매업,5.5
668,4471,35.820995,128.719057,87,0,16,2,0,0,1,정평,1690.4250743690038,0,1,0,1,소매업,3.5
1169,4472,35.820809,128.717544,83,0,13,2,0,0,0,정평,1781.457440054829,0,1,0,1,도매업,3.75
653,4472,35.820935,128.717142,83,0,12,2,0,0,0,사월,1785.141420705633,0,1,0,1,도매업,3.33
668,4472,35.820995,128.719057,87,0,16,2,0,0,1,정평,1690.4250743690038,0,1,0,1,도매업,3.57
1169,4473,35.820809,128.717544,83,0,13,2,0,0,0,정평,1781.457440054829,0,1,0,1,교육,1.0
653,4473,35.820935,128.717142,83,0,12,2,0,0,0,사월,1785.141420705633,0,1,0,1,교육,1.0
668,4473,35.820995,128.719057,87,0,16,2,0,0,1,정평,1690.4250743690038,0,1,0,1,교육,1.2
1169,4474,35.820809,128.717544,83,0,13,2,0,0,0,정평,1781.457440054829,0,1,0,1,의료,4.71
653,4474,35.820935,128.717142,83,0,12,2,0,0,0,사월,1785.141420705633,0,1,0,1,의료,6.0
668,4474,35.820995,128.719057,87,0,16,2,0,0,1,정평,1690.4250743690038,0,1,0,1,의료,4.3
1169,4475,35.820809,128.717544,83,0,13,2,0,0,0,정평,1781.457440054829,0,1,0,1,카페 및 베이커리,2.5
653,4475,35.820935,128.717142,83,0,12,2,0,0,0,사월,1785.141420705633,0,1,0,1,카페 및 베이커리,2.0
668,4475,35.820995,128.719057,87,0,16,2,0,0,1,정평,1690.4250743690038,0,1,0,1,카페 및 베이커리,2.5
428,4476,35.821041,128.72851,128,1,10,7,0,0,5,정평,1446.1652710070164,0,1,1,6,음식점,2.5
1047,4476,35.821035,128.728973,128,1,8,9,0,0,5,정평,1447.0676825862508,0,2,1,6,음식점,2.62
1086,4476,35.820584,128.728741,128,1,10,7,0,0,5,정평,1496.838114750156,0,2,1,7,음식점,2.67
428,4477,35.821041,128.72851,128,1,10,7,0,0,5,정평,1446.1652710070164,0,1,1,6,미용,1.0
1047,4477,35.821035,128.728973,128,1,8,9,0,0,5,정평,1447.0676825862508,0,2,1,6,미용,1.0
1086,4477,35.820584,128.728741,128,1,10,7,0,0,5,정평,1496.838114750156,0,2,1,7,미용,1.0
428,4478,35.821041,128.72851,128,1,10,7,0,0,5,정평,1446.1652710070164,0,1,1,6,서비스,2.88
1047,4478,35.821035,128.728973,128,1,8,9,0,0,5,정평,1447.0676825862508,0,2,1,6,서비스,2.78
1086,4478,35.820584,128.728741,128,1,10,7,0,0,5,정평,1496.838114750156,0,2,1,7,서비스,2.88
428,4479,35.821041,128.72851,128,1,10,7,0,0,5,정평,1446.1652710070164,0,1,1,6,소매업,3.37
1047,4479,35.821035,128.728973,128,1,8,9,0,0,5,정평,1447.0676825862508,0,2,1,6,소매업,3.37
1086,4479,35.820584,128.728741,128,1,10,7,0,0,5,정평,1496.838114750156,0,2,1,7,소매업,3.34
428,4480,35.821041,128.72851,128,1,10,7,0,0,5,정평,1446.1652710070164,0,1,1,6,도매업,5.12
1047,4480,35.821035,128.728973,128,1,8,9,0,0,5,정평,1447.0676825862508,0,2,1,6,도매업,4.75
1086,4480,35.820584,128.728741,128,1,10,7,0,0,5,정평,1496.838114750156,0,2,1,7,도매업,4.57
428,4481,35.821041,128.72851,128,1,10,7,0,0,5,정평,1446.1652710070164,0,1,1,6,교육,1.67
1047,4481,35.821035,128.728973,128,1,8,9,0,0,5,정평,1447.0676825862508,0,2,1,6,교육,1.5
1086,4481,35.820584,128.728741,128,1,10,7,0,0,5,정평,1496.838114750156,0,2,1,7,교육,1.67
428,4482,35.821041,128.72851,128,1,10,7,0,0,5,정평,1446.1652710070164,0,1,1,6,유흥주점,2.33
1047,4482,35.821035,128.728973,128,1,8,9,0,0,5,정평,1447.0676825862508,0,2,1,6,유흥주점,2.5
1086,4482,35.820584,128.728741,128,1,10,7,0,0,5,정평,1496.838114750156,0,2,1,7,유흥주점,1.0
428,4483,35.821041,128.72851,128,1,10,7,0,0,5,정평,1446.1652710070164,0,1,1,6,의료,3.0
1047,4483,35.821035,128.728973,128,1,8,9,0,0,5,정평,1447.0676825862508,0,2,1,6,의료,4.0
1086,4483,35.820584,128.728741,128,1,10,7,0,0,5,정평,1496.838114750156,0,2,1,7,의료,3.0
